Year,seen,out,SD,Pop,Pop_desc,Wolf_control_pen
2001,,,NA,NA,NA,0
2002,3,4,NA,NA,NA,0
2003,,,NA,NA,NA,0
2004,,,NA,NA,NA,0
2005,,,NA,NA,NA,0
2006,,,NA,NA,NA,0
2007,,,NA,NA,NA,0
2008,8,14,NA,NA,NA,0
2009,,,NA,NA,NA,0
2010,,,NA,NA,NA,0
2011,,,NA,NA,NA,0
2012,,,NA,NA,NA,0
2013,11,13,NA,NA,NA,0
2014,,,NA,NA,NA,0
2015,,,NA,NA,NA,0
2016,7,15,NA,NA,NA,0
2017,,,NA,NA,NA,1
2018,12,18,NA,NA,NA,1
2019,6,8,NA,NA,NA,1
2020,,,NA,NA,NA,1
2021,4,8,NA,NA,NA,1
