Group,Period,Years,AF Survival,90% CrI,Recruitment,r90% CrI,Recruitment-Adult Only,r.ad.90% CrI
Klinse-Za,post-mgmt (pooled),2014-2021,0.88,0.86-0.91,0.22,0.21-0.23,0.25,0.23-0.28
Klinse-Za,post-mgmt (wolf),2013-2021,0.87,0.83-0.92,0.17,0.15-0.19,0.21,0.17-0.26
Klinse-Za,post-mgmt (wolf+pen),2014-2021,0.9,0.9-0.9,0.28,0.28-0.28,0.3,0.3-0.3
Klinse-Za,pre-mgmt,1995-2012,0.78,0.75-0.81,0.15,0.13-0.17,0.2,0.16-0.25
Quintette,post-mgmt,2016-2021,0.87,0.83-0.91,0.18,0.16-0.21,0.28,0.22-0.36
Quintette,pre-mgmt,2002-2015,0.85,0.82-0.88,0.13,0.12-0.15,0.15,0.12-0.21
